"";"Isolate";"Geographic.Origin";"TOB_c";"Colony.size.1_4";"Margin.0_1_2";"Survival.24";"Background";"Swimming";"IL.6";"IL.10"
"CF592_Iso2";"CF592_Iso2";"Essen";"S";NA;NA;NA;"PA14-like";0;NA;NA
"CF609_Iso3";"CF609_Iso3";"Essen";"I";NA;NA;NA;"PAO1-like";NA;NA;NA
"CH2500";"CH2500";"Berlin";"S";1;1;10;"PA14-like";0,007754981;449,4044821;144,7491922
"CH2502";"CH2502";"Berlin";"S";2;1;100;"PAO1-like";1,117929385;4219,89806;547,2859734
"CH2522";"CH2522";"Berlin";"S";1;1;80;"PAO1-like";1,25880533;4009,857076;333,7903757
"CH2527";"CH2527";"Berlin";"S";2;1;95;"PAO1-like";1,236306318;3173,799166;497,6313241
"CH2543";"CH2543";"Berlin";"R";2;1;15;"PA14-like";0,751061062;422,3747223;119,0018114
"CH2560";"CH2560";"Berlin";"R";2;1;0;"PA14-like";0,799758002;25,0262165;48,83471929
"CH2582";"CH2582";"Berlin";"S";2;1;0;"PAO1-like";0,3017987;4784,313162;280,4255428
"CH2591";"CH2591";"Berlin";"R";2;1;0;"PA14-like";0,966221183;193,9993183;105,8687392
"CH2597";"CH2597";"Berlin";"S";2;2;0;"PAO1-like";1,839853799;6289,895141;308,0193431
"CH2598";"CH2598";"Berlin";"S";2;0;66,66666667;"PAO1-like";0,984140054;2271,053515;286,2691213
"CH2608";"CH2608";"Berlin";"R";2;1;3,333333333;"PA14-like";1,185805217;1347,184086;127,1175422
"CH2623";"CH2623";"Berlin";"R";1;1;0;"PAO1-like";0;938,973064;100,7520603
"CH2639";"CH2639";"Berlin";"R";2;1;NA;"PA14-like";1,013165232;15,63068262;34,2178891
"CH2657";"CH2657";"Berlin";"R";2;1;10;"PA14-like";0,930943882;19,73290438;33,84892057
"CH2658";"CH2658";"Berlin";"S";2;2;90;"PAO1-like";0,162021361;2739,144416;383,6452772
"CH2660";"CH2660";"Berlin";"S";2;1;66,66666667;"PAO1-like";0,086989123;4754,657676;352,8017157
"CH2665";"CH2665";"Berlin";"R";3;1;0;"PA14-like";0,593266084;116,9323471;93,77634756
"CH2672";"CH2672";"Berlin";"S";2;1;0;"PA14-like";0,81929319;2747,495368;361,0215146
"CH2674";"CH2674";"Berlin";"R";0;1;35;"PA14-like";0,286956179;3102,048339;425,3655264
"CH2675";"CH2675";"Berlin";"R";2;1;60;"PA14-like";1,00410878;340,9886214;71,80064504
"CH2677";"CH2677";"Berlin";"S";0;0;85;"PA14-like";0;4805,672875;428,0287223
"CH2678";"CH2678";"Berlin";"S";0;0;100;"PAO1-like";0;5965,699752;405,1605575
"CH2680";"CH2680";"Berlin";"S";2;1;0;"PAO1-like";1,636399646;6757,424746;211,6917516
"CH2682";"CH2682";"Berlin";"S";3;0;100;"PAO1-like";0;4162,324253;385,6667202
"CH2685";"CH2685";"Berlin";"S";2;1;65;"PA14-like";0,841839705;2608,287384;389,2905225
"CH2687";"CH2687";"Berlin";"S";2;1;10;"PA14-like";1,308930034;4946,982355;309,7004137
"CH2690";"CH2690";"Berlin";"S";2;1;0;"PAO1-like";1,646873956;2998,401253;379,8069061
"CH2698";"CH2698";"Berlin";"R";1;0;90;"PAO1-like";0,265710989;4092,502569;406,8219181
"CH2699";"CH2699";"Berlin";"R";2;1;0;"PA14-like";0,959646026;3715,543264;184,7048495
"CH2705";"CH2705";"Berlin";"R";1;1;0;"PA14-like";0,505386152;861,2533539;117,7318368
"CH2706";"CH2706";"Berlin";"R";2;1;0;"PAO1-like";0,180383941;3118,601207;245,9604211
"CH2707";"CH2707";"Berlin";"R";2;1;5;"PAO1-like";1,260710455;6179,341961;548,3739267
"CH2713";"CH2713";"Berlin";"S";1;0;0;"PA14-like";1,735087726;4250,211812;330,276657
"CH2718";"CH2718";"Berlin";"S";1;1;0;"PAO1-like";1,086270968;5192,749676;475,0848663
"CH2724";"CH2724";"Berlin";"S";3;2;5;"PAO1-like";0,912476526;4417,623688;256,1190037
"CH2730";"CH2730";"Berlin";"S";1;0;95;"PA14-like";0,769701006;3259,595659;401,9580705
"CH2734";"CH2734";"Berlin";"S";1;0;25;"PA14-like";0,922151044;6950,080274;213,8852077
"CH2735";"CH2735";"Berlin";"S";2;0;70;"PAO1-like";1,113280941;3754,306416;450,2638354
"CH2747";"CH2747";"Berlin";"S";2;1;20;"PAO1-like";1,205649039;6015,747515;415,0401433
"CH2748";"CH2748";"Berlin";"R";2;1;0;"PA14-like";1,159028772;879,834556;79,04059079
"CH2756";"CH2756";"Berlin";"S";2;1;85;"PAO1-like";1,531081495;9295,48959;596,078358
"CH2764";"CH2764";"Berlin";"S";2;1;25;"PAO1-like";1,457911329;4715,565929;366,7821032
"CH2824";"CH2824";"Berlin";"S";2;1;35;"PA14-like";1,163211118;7826,281842;240,5279656
"CH2829";"CH2829";"Berlin";"S";2;1;10;"PA14-like";0,916358693;4775,595682;280,3523367
"CH2848";"CH2848";"Berlin";"S";1;0;95;"PAO1-like";1,67634442;3844,637016;502,0916969
"CH2860";"CH2860";"Berlin";"S";3;1;35;"PAO1-like";1,012001965;4199,322907;332,0165699
"CH2875";"CH2875";"Berlin";"R";1;1;90;"PAO1-like";0,908302369;1024,957788;127,4949846
"CH2922";"CH2922";"Berlin";"S";1;1;80;"PA14-like";0,690791611;2980,637346;448,8811773
"CH2939";"CH2939";"Berlin";"S";2;1;0;"PAO1-like";1,812722807;6285,9216;279,8443255
"CH3173";"CH3173";"Berlin";"R";2;1;0;"PA14-like";1,249758833;23,06336807;8,813975022
"CH3177";"CH3177";"Berlin";"S";2;1;0;"PAO1-like";1,205205049;5164,127483;271,0344742
"CH3290";"CH3290";"Berlin";"R";2;1;100;"PA14-like";0,161548972;4474,911468;327,4902646
